Price,Close,High,Low,Open,Volume
Ticker,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP,^NSMIDCP
Date,,,,,
2008-01-10,12391.564453125,13012.953041787801,12352.465586350292,12875.555260743098,0
2008-01-11,12465.9638671875,12531.112046179278,12133.720165820467,12422.064308804629,0
2008-01-14,12789.607421875,12816.507303116501,12547.062210089889,12575.51186667192,0
2008-01-15,12539.3623046875,12914.405988317862,12501.463607849542,12830.407577969394,0
2008-01-16,12308.31640625,12458.91413645372,11994.42294444296,12458.91413645372,0
2008-01-17,12251.017578125,12453.6133439264,12204.218661289626,12359.965706513009,0
2008-01-18,11496.482421875,12225.51841671451,11425.383182742995,12205.16919280702,0
2008-01-21,10081.55859375,11454.232727773859,9587.167589523668,11454.232727773859,0
2008-01-22,9406.1708984375,9701.3156815096,8336.391418842513,9614.06733916958,0
2008-01-23,10219.40625,10484.251824846486,9651.967767641881,9651.967767641881,0
2008-01-24,9879.3125,10632.748395812361,9651.017028144463,10429.851855971636,0
2008-01-25,10696.447265625,10747.946287661141,9962.360619956284,9973.710990350815,0
2008-01-28,10689.1474609375,10732.99721760776,10168.107509927513,10549.90009432222,0
2008-01-29,10562.5498046875,10908.443639478384,10411.352475065312,10747.096111611081,0
2008-01-30,10234.9052734375,10573.54923403801,10178.856532979147,10552.34944125797,0
2008-01-31,10129.8076171875,10379.953257108087,9886.26243785009,10271.054934653219,0
2008-02-01,10219.15625,10308.554949088422,9980.561155146286,10269.55568700384,0
2008-02-04,10534.701171875,10648.449020821647,10342.454807391547,10342.454807391547,0
2008-02-05,10587.25,10684.198362106743,10440.102391803053,10496.401131932347,0
2008-02-06,10342.9033203125,10400.703004632025,10147.05742772818,10320.804130339011,0
2008-02-07,9967.9619140625,10474.301949441317,9944.061975343147,10357.754348463199,0
2008-02-08,9740.4150390625,10038.309784904797,9581.518635914696,9965.410775637045,0
2008-02-11,9212.0751953125,9769.51481287177,9096.127200183197,9769.51481287177,0
2008-02-12,9172.826171875,9401.022042799397,9025.428574483787,9262.724858889804,0
2008-02-13,9209.275390625,9375.97242179904,9084.82755750319,9237.874457150463,0
2008-02-14,9742.8154296875,9766.864778778165,9378.171946959097,9378.171946959097,0
2008-02-15,9927.01171875,9946.511348525477,9540.219257794482,9600.718109149164,0
2008-02-18,9954.01171875,10078.608968909231,9921.712525639125,9982.511179120303,0
2008-02-19,9975.310546875,10115.307888017047,9889.062184921417,10012.159456408022,0
2008-02-20,9688.3662109375,9948.111288789447,9617.718135650268,9939.411258341815,0
2008-02-21,9725.7158203125,9929.011766939873,9597.01806736876,9707.81576938671,0
2008-02-22,9558.91796875,9659.166063814033,9531.818874317849,9659.166063814033,0
2008-02-25,9616.017578125,9677.366022435537,9387.97210423481,9614.31741510019,0
2008-02-26,9775.5146484375,9807.113658038708,9622.717743954148,9622.717743954148,0
2008-02-27,9794.46484375,9987.360603584728,9750.065294232481,9826.91344779188,0
2008-02-28,9657.8671875,9799.664310995951,9598.668111561845,9796.064769683402,0
2008-02-29,9635.9169921875,9690.866146119097,9397.02210559367,9608.167518087725,0
2008-03-03,9064.177734375,9526.219754381067,9036.028854071761,9526.219754381067,0
2008-03-04,8762.0341796875,9125.32710100749,8533.338317511087,9070.228535593582,0
2008-03-05,8663.986328125,8816.132861118715,8571.988070217336,8758.484538693197,0
2008-03-07,8242.943359375,8556.187421643464,8058.797435910371,8556.187421643464,0
2008-03-10,8241.6435546875,8278.843044749854,7842.951406300078,8110.596234473351,0
2008-03-11,8614.787109375,8635.786711832981,8113.7463015750445,8170.795514549099,0
2008-03-12,8586.9873046875,8988.479679456668,8528.738410963206,8794.382779849859,0
2008-03-13,8001.248046875,8443.74013711092,7933.249337420654,8443.74013711092,0
2008-03-14,8209.5947265625,8263.393513718333,7953.249477331704,8029.548327210375,0
2008-03-17,7577.1064453125,7991.398400888647,7534.057456224493,7991.398400888647,0
2008-03-18,7473.00830078125,7676.90433962097,7397.560023374262,7541.307299593142,0
2008-03-19,7431.00927734375,7872.900817297482,7393.86007801435,7691.204548700611,0
2008-03-24,7338.9609375,7548.35686931293,7235.112808994684,7451.408512319045,0
2008-03-25,7954.84912109375,8001.448334906912,7459.808705793185,7459.808705793185,0
2008-03-26,8034.6474609375,8109.146048380914,7894.100321143317,7978.698814740171,0
2008-03-27,7979.6484375,8114.895871970462,7918.4498913534535,7950.049389593926,0
2008-03-28,8296.8427734375,8337.292202226537,7955.7994315785445,8015.298304064929,0
2008-03-31,7975.5986328125,8222.843940396475,7927.149357008485,8222.843940396475,0
2008-04-01,7894.55078125,8085.246879123557,7801.002258801849,7982.598919518422,0
